1140100,국민권익위원회
6410000,경기도
B552522,한국서부발전(주)
6500000,제주특별자치도
1192000,해양수산부
6260000,부산광역시
1290000,국방부
4641000,전북특별자치도 전주시
3120000,서울특별시 서대문구
5370000,경상남도 거제시
1371029,문화체육관광부 국립중앙도서관
1371000,문화체육관광부
4590000,충청남도 청양군
1543000,농림축산식품부
B551004,영화진흥위원회
B551282,강북구도시관리공단
B550021,금융감독원
B554287,한국사회보장정보원
B552024,한국체육산업개발주식회사
B551182,건강보험심사평가원
1790387,질병관리청
B553023,한국원자력환경공단
1450000,산업통상자원부
1833100,국가유산청
B554695,대전교통공사
1051000,기획재정부
1613000,국토교통부
B090032,한국과학기술연구원
B090028,한국농촌경제연구원
B190017,예금보험공사
B490007,한국산업인력공단
1383000,여성가족부
B551904,한국고용정보원
1830000,국가보훈부
1400000,산림청
B552587,부산시설공단
B550373,한국지역난방공사
3280000,부산광역시 영도구
B554390,국토안전관리원
B553457,한국문화정보원
B550629,한국교육학술정보원
1170000,법제처
B190031,한국수출입은행
5070000,경상북도 안동시
1300000,병무청
5390000,경상남도 의령군
4820000,전라남도 순천시
1371480,문화체육관광부 대한민국역사박물관
1371034,문화체육관광부 국립국악원
1390804,농촌진흥청 국립원예특작과학원
1390000,농촌진흥청
4440000,충청북도 영동군
1661000,소방청
4500000,충청남도 공주시
B552519,대전도시공사
1371028,문화체육관광부 국립국어원
6310000,울산광역시
B551542,부산교통공사
6270000,대구광역시
1543061,농림축산식품부 농림축산검역본부
3200000,서울특별시 관악구
B551959,한국항공우주연구원
B552111,한국과학창의재단
1320000,경찰청
B551178,한국공항공사
B552467,대구경북과학기술원
B552540,한국연구재단
B552015,국민연금공단
B551971,전북개발공사
6440000,충청남도
B555073,광주교통공사
B552132,한국문학번역원
B552584,한국환경공단
1480000,환경부
6280000,인천광역시
B460014,한국사회복지협의회
1721301,과학기술정보통신부 우정사업본부
B551919,한국소비자원
1741000,행정안전부
1721000,과학기술정보통신부
1480964,환경부 한강홍수통제소
B260003,한국국제협력단
9735000,국회 국회입법조사처
9710000,국회 국회사무처
1371027,문화체육관광부 국립중앙박물관
B551010,한국영상자료원
B551940,한국문화관광연구원
1192136,해양수산부 국립해양조사원
6300000,대전광역시
1721137,과학기술정보통신부 국립전파연구원
B552916,한국출판문화산업진흥원
1192073,해양수산부 국립수산물품질관리원
B410005,한국석유공사
1371037,문화체육관광부 한국정책방송원
4040000,경기도 하남시
B551015,한국마사회
B553734,서울에너지공사
B552468,한국산업안전보건공단
1270000,법무부
B552583,한국장애인고용공단
B190001,한국조폐공사
5080000,경상북도 구미시
B552831,인천도시공사
B552041,한국수력원자력(주)
B554620,한국수목원정원관리원
B552525,(주)강원랜드
B551177,인천국제공항공사
B410002,한국전력공사
4351000,강원특별자치도 양양군
3000000,서울특별시 종로구
1390906,농촌진흥청 국립축산과학원
B410001,대한무역투자진흥공사
B551398,한국전기안전공사
6110000,서울특별시
B551011,한국관광공사
6540000,전북특별자치도
B552826,한국임업진흥원
1471000,식품의약품안전처
B552532,한국석유관리원
B551963,한국전자통신연구원
1352000,보건복지부
B551391,제주국제자유도시개발센터
1390802,농촌진흥청 국립농업과학원
B490001,근로복지공단
1430000,특허청
B552070,한국동서발전(주)
B554035,한국해양교통안전공단
B552696,한국무역보험공사
1130000,공정거래위원회
B552115,한국전력거래소
B553766,서울교통공사
3740000,경기도 수원시
B551014,서울올림픽기념국민체육진흥공단
1390803,농촌진흥청 국립식량과학원
B553511,주택도시보증공사
6470000,경상북도
1400119,산림청 국립수목원
5410000,경상남도 창녕군
6460000,전라남도
AAAAAAA,공공데이터활용지원센터
1834100,우주항공청
1480523,환경부 국립환경과학원
B551982,한국지역정보개발원
B500001,한국수자원공사
1833118,국가유산청 국립문화유산연구원
B551008,영상물등급위원회
B552895,농림수산식품교육문화정보원
3460000,대구광역시 수성구
1543145,농림축산식품부 국립농산물품질관리원
B552845,한국농수산식품유통공사
1262000,외교부
3030000,서울특별시 성동구
B551457,한국철도공사
9750000,헌법재판소
3070000,서울특별시 성북구
B552772,보험개발원
B552518,한국환경산업기술원
B551463,한국문화예술교육진흥원
1471057,식품의약품안전처 식품의약품안전평가원
B554626,한국형사법무정책연구원
9760000,중앙선거관리위원회
4201000,강원특별자치도 강릉시
B340014,한국대학교육협의회
B553530,한국에너지공단
B553508,국립낙동강생물자원관
B010003,한국자산관리공사
5020000,경상북도 포항시
4671000,전북특별자치도 군산시
1360000,기상청
1160100,금융위원회
1342000,교육부
1371033,문화체육관광부 국립현대미술관
B551186,한국과학기술정보연구원
B551210,한국가스공사
4520000,충청남도 아산시
6520000,제주특별자치도 서귀포시
7150687,부산광역시교육청 부산광역시교육청교육연구정보원
4810000,전라남도 여수시
B555072,한국산업기술기획평가원
B552867,예술경영지원센터
B551504,인천항만공사
B554388,한국부동산원
1220000,관세청
B554584,의료기관평가인증원
B552644,한국콘텐츠진흥원
B554805,대구교통공사
B552551,정보통신산업진흥원
B554393,한국지능정보사회진흥원
B553664,한국승강기안전공단
1250000,통일부
5310000,경상남도 진주시
B553748,한국식품안전관리인증원
B551922,부산도시공사
B551893,한국남동발전㈜
B553774,서울시설공단
1342068,교육부 국사편찬위원회
1230000,조달청
B551408,한국주택금융공사
1834112,우주항공청 우주환경센터
3660000,대전광역시 서구
3110000,서울특별시 은평구
3830000,경기도 안양시
B500004,한국도로공사
B410004,대한석탄공사
1240000,통계청
B551172,국립암센터
7010000,서울특별시교육청
5590000,경기도 양주시
1371036,문화체육관광부 국립민속박물관
4231000,강원특별자치도 속초시
B553881,한국교통안전공단
B554808,대구공공시설관리공단
4050000,경기도 용인시
B554009,중소벤처기업진흥공단
B552729,한국방송통신전파진흥원
B190021,중소기업은행
B553912,(주)에스알
B552735,창업진흥원
B552520,한국남부발전(주)
5110000,경상북도 상주시
4070000,경기도 이천시
B090041,한국천문연구원
B553662,한국등산트레킹지원센터
3630000,광주광역시 광산구
B551184,한국에너지기술연구원
B552555,한국토지주택공사
B553961,재단법인천안시복지재단
1360496,기상청 항공기상청
B552625,부산환경공단
B552640,공무원연금공단
B552950,서울특별시농수산식품공사
B553062,게임물관리위원회
B553694,기술보증기금
1450190,산업통상자원부 국가기술표준원
3900000,경기도 광명시
5050000,경상북도 경주시
4510000,충청남도 보령시
B555234,한국도로교통공단
1421000,중소벤처기업부
B552104,중소기업기술정보진흥원
B260004,한국국제교류재단
6290000,광주광역시
4181000,강원특별자치도 춘천시
4400000,충청북도 제천시
4211000,강원특별자치도 동해시
5430000,경상남도 남해군
B554038,한국수산자원공단
4060000,경기도 파주시
3780000,경기도 성남시
4420000,충청북도 보은군
5690000,세종특별자치시
3140000,서울특별시 양천구
B554076,(재)세종테크노파크
B553069,재단법인충북테크노파크
B554922,재단법인울산문화관광재단
B554597,재단법인천안과학산업진흥원
5090000,경상북도 영주시
4390000,충청북도 충주시
3990000,경기도 남양주시
3420000,대구광역시 동구
3430000,대구광역시 서구
4721000,전북특별자치도 완주군
1833119,국가유산청 국립해양유산연구소
5350000,경상남도 김해시
4890000,전라남도 보성군
6480000,경상남도
4140000,경기도 연천군
1371661,문화체육관광부 국립국악고등학교
3670000,대전광역시 유성구
3470000,대구광역시 달서구
4170000,경기도 양평군
5710000,충청북도 청주시
4860000,전라남도 곡성군
5600000,경기도 포천시
B553554,인천관광공사
3450000,대구광역시 북구
5010000,전라남도 신안군
5100000,경상북도 영천시
3980000,경기도 구리시
3050000,서울특별시 동대문구
B554305,재단법인전라남도관광재단
6510000,제주특별자치도 제주시
3020000,서울특별시 용산구
B553299,재단법인강원정보문화진흥원
B551001,독립기념관
4090000,경기도 김포시
4490000,충청남도 천안시
B552980,수원시정연구원
3640000,대전광역시 동구
4030000,경기도 의왕시
4191000,강원특별자치도 원주시
3700000,울산광역시 남구
5440000,경상남도 하동군
3730000,울산광역시 울주군
4600000,충청남도 홍성군
B553917,주식회사공영홈쇼핑
4580000,충청남도 서천군
1570100,방송통신위원회
B551024,국제방송교류재단
4610000,충청남도 예산군
3190000,서울특별시 동작구
B552062,화성도시공사
B552546,한국저작권위원회
B552679,축산물품질평가원
B553701,서민금융진흥원
B190030,한국산업은행
B551505,한국인터넷진흥원
B552149,한국농어촌공사
1532000,해양경찰청
B551365,한국디자인진흥원
1790365,개인정보보호위원회
1543309,농림축산식품부 농식품공무원교육원
B553084,국립생태원
6530000,강원특별자치도
B555280,주식회사한국중소벤처기업유통원
B554066,시흥도시공사
B554958,재외동포협력센터
B554031,한아프리카재단
C100006,서울대학교 연구소 차세대융합기술연구원
B555289,국악방송
9720000,국회 국회도서관
3480000,대구광역시 달성군
3370000,부산광역시 연제구
B554353,재단법인경상남도관광재단
6430000,충청북도
B553935,서울관광재단
4840000,전라남도 광양시
B552974,부산관광공사
B010002,통일연구원
B552917,서울연구원
3590000,광주광역시 동구
3040000,서울특별시 광진구
1371829,문화체육관광부 국립장애인도서관
B553357,김해시도시개발공사
B551296,인천광역시서구시설관리공단
5580000,충청남도 계룡시
3210000,서울특별시 서초구
5130000,경상북도 경산시
B553482,국립해양생물자원관
1833117,국가유산청 국립무형유산원
B555316,재단법인충청북도역사문화연구원
B553826,한국특허전략개발원
B552481,한국예탁결제원
B551939,제주특별자치도개발공사
1192266,해양수산부 국립수산과학원
B550624,한국산업단지공단
B550936,한국과학기술기획평가원(KISTEP)
4460000,충청북도 괴산군
1400377,산림청 국립산림과학원
B552521,한국중부발전(주)
5380000,경상남도 양산시
B552486,한국소방산업기술원
B552745,한국사회적기업진흥원
1210000,국세청
B551202,한국보훈복지의료공단
B552719,그랜드코리아레저(주)
4850000,전라남도 담양군
B553501,한국국토정보공사
3400000,부산광역시 기장군
B552701,제주관광공사
B552570,태권도진흥재단
